model_38_2,train_losses,test_losses,train_accuracies,test_accuracies
1,0.13841335957541184,0.08958396034420661,49,57
2,0.09620754032575783,0.09384047366538138,50,43
3,0.09631546780842692,0.08900558892286049,49,57
4,0.09587762830387644,0.09285301307462296,49,50
5,0.09548604613592644,0.09298567614465389,48,54
6,0.09494956833224337,0.0928402379998621,49,50
7,0.09222603770865112,0.09303627430268054,51,50
8,0.09254752875877027,0.09489125800582598,51,48
9,0.09255643232780345,0.09396388845623664,48,50
10,0.09163737272014137,0.09546514277188282,52,47
11,0.09216446435752035,0.09538444370593664,52,48
12,0.09268915640706775,0.0947566032409668,52,47
13,0.09128614358541344,0.08944485716100009,52,55
14,0.09092027675203916,0.09130046221445191,52,51
15,0.09055936411649239,0.08961000644935752,53,53
16,0.0906450889942025,0.08955205836386051,54,55
17,0.08968840376669619,0.08891859369457893,53,57
18,0.0903353141385968,0.0910672387986813,51,51
19,0.09002838183601364,0.08899086938714082,53,57
20,0.09055894500568133,0.08993633794334699,53,57
21,0.08940845189475212,0.08900749852072518,53,57
22,0.08997459371550744,0.08890056553876625,53,57
23,0.0888282117598197,0.08887968310769999,53,57
24,0.08888093601254855,0.0889517957309507,54,56
25,0.08840465370346517,0.08887836505781929,54,57
26,0.08737719559869847,0.08926256085341831,53,55
27,0.08729400517058973,0.08897024561774056,56,57
28,0.08645423745908656,0.08996709787620688,56,50
29,0.08659711436313741,0.08915739183155995,58,57
30,0.08580854622756734,0.09016005554289189,59,50
31,0.08617496096036013,0.0893840345571626,58,55
32,0.08557750472501546,0.08993397962372258,60,50
33,0.08557731939964935,0.08978112013834827,61,54
34,0.08508970738709473,0.09069954449275755,61,50
35,0.0852496886954588,0.09040546473467125,61,50
36,0.08451998960070249,0.09197387774035616,61,51
37,0.0850108164448698,0.09058716893196106,61,50
38,0.08428672181458033,0.09184900825878359,61,51
39,0.08446430377349132,0.09127928907016539,62,50
40,0.08387544294114874,0.0931425060866014,62,52
41,0.08448273018628609,0.09109764110367254,61,50
42,0.08371115112755478,0.09309825807247522,61,51
43,0.08392343569953903,0.09211600838967089,61,51
44,0.08313608413734355,0.09589810866229939,63,51
45,0.0839791179579847,0.09194250039334567,61,51
46,0.08243231187347605,0.0988567184727147,62,53
47,0.08406666628703349,0.09367430772421495,60,52
48,0.09606468546039917,0.09278469490555097,60,49
49,0.08584956593122803,0.08903826745051258,60,56
50,0.08471736574874204,0.09113494405206644,58,50
51,0.08418035882861674,0.09049692075207548,61,52
52,0.08364693926913398,0.0908763459268606,60,51
53,0.0834708107995386,0.09077574059648334,60,52
54,0.08314712608561796,0.0910510834095613,60,53
55,0.08287987745359164,0.09127497954188653,61,52
56,0.08242774072314511,0.09199741651427071,61,53
57,0.0843441257832431,0.09032633675719207,58,50
58,0.08351321411984307,0.0899080828113376,59,54
59,0.08341027095037348,0.089771106558026,59,55
60,0.08332115230189652,0.08966258561836099,59,55
61,0.08321843390204325,0.08959406108226416,60,55
62,0.08302722489383041,0.08958807812546785,60,54
63,0.08264194479008682,0.08957962157591334,60,54
64,0.0820535884058776,0.08971774296940498,60,52
65,0.08172398630310507,0.0900362195833674,60,51
66,0.0813220700546473,0.09054539282366915,60,53
67,0.08099846761016284,0.090789684147205,60,54
68,0.08041041219184379,0.0924379825592041,61,53
69,0.08240993133112162,0.0909050483748598,59,55
70,0.08158426988525551,0.090641809521981,60,54
71,0.08101416711045914,0.09082123384160816,61,53
72,0.08062617386839971,0.09078450613426713,61,51
73,0.08019367185961299,0.09077005228906307,62,51
74,0.08004888923478727,0.09074269094557133,61,50
75,0.08336312755817125,0.09781786911892441,61,44
76,0.08711789460743175,0.08881646816460591,57,57
77,0.08469023837261841,0.08981627000952666,58,52
78,0.08273665099835195,0.09011095087483244,60,52
79,0.08178853669336864,0.09030267483783218,61,52
80,0.0817253744902731,0.08950131288114584,61,53
81,0.08192708443443314,0.09083490551642652,61,51
82,0.08114400430887687,0.09031165208456651,61,51
83,0.0810333272489179,0.09191311192962359,62,51
84,0.08008234165295833,0.09226889261659586,61,51
85,0.0793998205423856,0.09630012990168806,63,54
86,0.08024534135430801,0.09762239568638352,63,51
87,0.07976064536751819,0.0952882210038743,64,55
88,0.07760029117099378,0.09658102494365764,64,54
89,0.07836471491751551,0.09438232093487146,63,50
90,0.07916568307315602,0.09490218140044303,64,50
91,0.07760260742502052,0.0978676659880944,64,53
92,0.07724352600444265,0.09577993908018437,64,54
93,0.075640890528174,0.09846758280160292,65,51
94,0.07539964241891348,0.09888021900968731,64,50
95,0.07614223615211599,0.09917265851542635,65,51
96,0.07966825459935084,0.0951953187303723,62,51
97,0.07575474028326884,0.0992851937716862,66,51
98,0.07447586427716647,0.10478924580340115,68,51
99,0.07666838175358892,0.09746616741396347,63,50
100,0.08116770097438027,0.09746691022279128,61,52
101,0.0948913620174432,0.08888064915279173,60,56
102,0.08425784937473906,0.08985430283366509,60,54
103,0.08297833011430852,0.09080221461799909,61,54
104,0.08260256158454078,0.09081458314409796,60,54
105,0.08235527199356496,0.09084611512580008,61,54
106,0.0820803677334505,0.09089923889007208,61,55
107,0.0819654716413562,0.09083316714133856,60,55
108,0.08184617908061051,0.09080344972745427,61,54
109,0.08178517291275393,0.09068861856775463,61,54
110,0.08165405747018942,0.09079349294023693,61,55
111,0.08154602780812929,0.09078245736517997,61,55
112,0.08160417351652594,0.09042198646743342,61,54
113,0.08135681699554459,0.09048103105347112,61,54
114,0.0815911295534182,0.08954085606449055,61,55
115,0.08134821526894048,0.09106453915811935,62,54
116,0.08122231686065177,0.08989919469041645,62,55
117,0.0810198241672596,0.08977743308499174,61,54
118,0.0804532753820179,0.08990772265308308,62,54
119,0.08075576738900497,0.09060676873854871,61,55
120,0.0811444537854996,0.09024405226392566,61,52
121,0.08086795716726479,0.0901364194896986,61,54
122,0.08090544567138207,0.09024226440573638,61,54
123,0.08542940759358286,0.08913719654083252,60,55
124,0.08265751036776214,0.08923466503620148,61,54
125,0.08202870953984621,0.08978285598305036,62,53
126,0.08183342662929487,0.08973348421870538,63,54
127,0.08158305907199363,0.08988112408035207,62,54
128,0.08144482982759717,0.0898859051038634,62,54
129,0.08126467165826749,0.08994177068179508,62,54
130,0.0811212085375265,0.0900608351770437,63,55
131,0.08099415697971311,0.09056416491292557,62,55
132,0.08116426732109375,0.09002903441213211,63,57
133,0.08072856951411031,0.08953336556002779,61,56
134,0.0806750337741956,0.09021807166765321,63,57
135,0.08054593418325696,0.0899001843524429,62,54
136,0.0818206520140672,0.08997066065950214,61,53
137,0.08139996524868894,0.09073703581432127,61,54
138,0.08061627937214715,0.09096680300415687,62,55
139,0.08005601612209272,0.09293401466225679,61,55
140,0.07915728614360344,0.09251556700130678,63,54
141,0.07874387346145485,0.09407550518242817,63,54
142,0.07873548924171624,0.10006097127806465,63,58
143,0.09323200245364373,0.08980197051786026,60,53
144,0.080686929095693,0.08971524463509614,63,54
145,0.07971413990780085,0.09048460733215764,63,55
146,0.07876657919973887,0.09196903626873808,63,53
147,0.07926582601390966,0.09163742863907004,62,53
148,0.08259344651919454,0.0921676479420572,59,57
149,0.08533261534797043,0.08846527281797158,55,57
150,0.08249966424553334,0.0885740467962229,58,57
151,0.0814374417943113,0.08884055434532885,60,55
152,0.08179250403362162,0.08912040433793697,59,55
153,0.08071362803212735,0.09109672004321837,60,54
154,0.07992642710940177,0.09033257219026673,60,55
155,0.07924035094490572,0.09275933369150702,61,54
156,0.07943266868090429,0.0918357181099226,61,53
157,0.07829906728838672,0.10102365320583559,61,54
158,0.07904070246369899,0.0938549058617286,61,53
159,0.07880500766659986,0.0931438556257284,61,52
160,0.08377200640550181,0.08939772338237402,59,57
161,0.084407440629326,0.09090570008979654,57,50
162,0.08316075714195476,0.09138289937433207,63,51
163,0.08277094389210228,0.09167470234744954,63,52
164,0.08242130292063,0.0923847904745138,63,52
165,0.08210230305665682,0.09306201732383584,63,52
166,0.08185592462786105,0.09337975112897046,63,52
167,0.08164287245824557,0.09362101723562996,63,51
168,0.08146622025666117,0.09382712334956762,63,51
169,0.08131889372813601,0.09396423821179371,63,51
170,0.08116580765036975,0.09431770050300742,63,51
171,0.08129969971770999,0.09316616575672941,63,53
172,0.0807953671622677,0.09451181315026193,63,51
173,0.08076952141122658,0.09499890062044251,63,51
174,0.08062423389999807,0.09544044901739876,63,50
175,0.08045475610664912,0.09598484522891494,63,51
176,0.08030786985108833,0.09662345782765802,63,51
177,0.08011385522970632,0.09736587528912526,63,51
178,0.0800415068363943,0.09799576143048844,64,51
179,0.07954192637395457,0.10302673252123706,64,50
180,0.07978954623226359,0.0975195641787547,64,52
181,0.07927077601687248,0.0993846373737983,65,52
182,0.07868187486374077,0.11525914438490598,66,51
183,0.08334351791178479,0.09400983576504689,63,52
184,0.07848460371253871,0.10082255894283079,66,52
185,0.07863917621243902,0.10277141433841777,65,51
186,0.07867925194632105,0.1010651633424579,65,52
187,0.07820352429852766,0.10385719475881108,66,50
188,0.07856711964396869,0.10071966783055719,66,50
189,0.07790329520191465,0.1030247689418073,67,50
190,0.07791258206888407,0.10276620399277166,67,50
